AR_p,d,MA_q,SAR_P,D,SMA_Q,E,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
1,1,1,2,0,2,12,False,0.07058363597890921,0.8116950950803856,0.3601778050383386,56.18550957127355,0.2196638584136963
0,1,2,2,0,0,12,False,0.07059873912606056,0.8111601500599547,0.36202830101019196,54.74690729643701,0.046785831451416016
2,1,1,0,0,2,12,False,0.07061633379391968,0.8150986644503465,0.36248827251503596,54.500940221643646,0.15679621696472168
0,1,1,2,0,0,12,False,0.0706179567874821,0.8111715070538719,0.3621163901189702,52.74722513675816,0.03462791442871094
2,1,1,2,0,1,12,False,0.07063885972159341,0.8130766799651901,0.3612867958020365,55.924100204690966,0.22569870948791504
0,1,2,2,0,1,12,False,0.07065566405105635,0.811249321425791,0.36214733747642874,55.947064691502376,0.07058262825012207
2,1,2,1,0,0,12,False,0.0706586509291538,0.8135708926495906,0.36757401991899474,57.67949667116003,0.0886690616607666
0,1,2,2,0,2,12,False,0.07065967732085189,0.8112468847752781,0.3621643562543706,57.94740727515745,0.18161988258361816
0,1,2,0,0,1,12,False,0.07076068504983918,0.8071319197311169,0.3647417552833115,53.84014516932913,0.02632927894592285
0,1,1,1,0,2,12,False,0.07081266816195854,0.8118266245442234,0.3629988576523712,54.10985182504447,0.16516900062561035
2,1,1,0,0,1,12,False,0.07081556816126715,0.8088717989618318,0.36441102196797276,54.099116578761965,0.0788581371307373
0,1,2,0,0,2,12,False,0.07083619850819824,0.8123468229178266,0.363570699842795,54.655566821836935,0.11678075790405273
1,1,1,2,0,1,12,False,0.07085329304314746,0.8115441928864628,0.3614106191521116,54.32360821266333,0.1986067295074463
0,1,1,1,0,1,12,False,0.07092613267999995,0.81055566352301,0.3642204925155563,53.23105118402819,0.07132196426391602
2,1,1,0,0,0,12,False,0.0709310034608691,0.8103088178441056,0.36685000892455816,56.54801329567931,0.01879715919494629
0,1,1,2,0,1,12,False,0.07093171265150706,0.8115585655812014,0.3633978220652689,54.06339480689886,0.05698108673095703
0,1,1,2,0,2,12,False,0.07093190155703348,0.8115586752529167,0.36339854304075975,56.06339489203783,0.08379220962524414
1,1,2,2,0,0,12,False,0.07106042577828096,0.8123398909636276,0.3647598461431163,56.40056013199021,0.2341289520263672
2,1,0,2,0,0,12,False,0.07110503395534266,0.8110621496314877,0.36431682821777,54.881628377578906,0.05678677558898926
2,1,0,1,0,2,12,False,0.07112773404445173,0.8114798189219036,0.36428329826965994,56.35804837256628,0.09355378150939941
0,1,1,0,0,1,12,False,0.07113546309131837,0.8075170874387669,0.3663960446307531,51.911554151660305,0.033540964126586914
2,1,0,2,0,2,12,False,0.07114469042315305,0.8111997204559681,0.3642276156359043,58.299022204049265,0.22387099266052246
2,1,0,2,0,1,12,False,0.0711591789410293,0.8111718235893868,0.3643041126680759,56.302727763450875,0.09166789054870605
2,1,1,1,0,0,12,False,0.07117176065387366,0.8106803776276305,0.3688476015964833,57.0659099960337,0.07549023628234863
0,1,1,0,0,2,12,False,0.07121604007167452,0.8124526584056869,0.36521349451860613,52.73729297675937,0.10306501388549805
2,1,0,1,0,1,12,False,0.07146771541921579,0.8101328315335837,0.3667008454807341,55.57473613254334,0.06627202033996582
1,1,0,2,0,2,12,False,0.07156458229198105,0.8110272095816009,0.36662111793833657,56.64541861300332,0.18901896476745605
1,1,0,1,0,2,12,False,0.07156578689165378,0.81118161135249,0.3666979386022384,54.657666985390044,0.1007239818572998
1,1,0,2,0,1,12,False,0.07157080053915778,0.8110167339606594,0.366634151994433,54.649562190591325,0.06381702423095703
1,1,0,1,0,1,12,False,0.07163740727596957,0.8099707022128594,0.3672608804751112,53.82081748755635,0.06088995933532715
2,1,0,0,0,2,12,False,0.0716391692411847,0.812097354220346,0.3667809432627673,55.07246630262507,0.09216809272766113
1,1,0,2,0,0,12,False,0.07168774249585656,0.8108611025762373,0.36754134788567044,53.12109607618606,0.04649019241333008
2,1,0,0,0,1,12,False,0.07172994418334483,0.8072989017051628,0.3691105986155361,54.22208351200914,0.026551008224487305
0,1,1,1,0,0,12,False,0.07187663678618271,0.8075044781446865,0.3723769226774564,55.52275620420097,0.01475381851196289
